food_label,gi_glucose,gi_category,carb_g,fiber_g,sugar_g,fat_g,protein_g,energy_kcal
"apple, raw",38,low,13.81,2.4,10.39,0.17,0.26,52.0
banana,52,low,22.84,2.6,12.23,0.33,1.09,89.0
orange,43,low,11.75,2.4,9.35,0.12,0.94,47.0
grapes,53,low,18.1,0.9,15.48,0.16,0.72,69.0
watermelon,72,high,7.55,0.4,6.2,0.15,0.61,30.0
peach,42,low,18.43,1.2,14.66,0.18,0.52,72.0
pear,38,low,15.23,3.1,9.75,0.14,0.36,57.0
cherries,22,low,16.01,2.1,12.82,0.2,1.06,63.0
strawberries,40,low,7.68,2.0,4.89,0.3,0.67,32.0
pineapple,59,medium,13.12,1.4,9.85,0.12,0.54,50.0
kiwifruit,53,low,14.66,3.0,8.99,0.52,1.14,61.0
grapefruit,25,low,8.08,1.1,6.98,0.1,0.63,32.0
plum,39,low,11.42,1.4,9.92,0.28,0.7,46.0
apricots,57,medium,11.12,2.0,9.24,0.39,1.4,48.0
blueberries,53,low,14.49,2.4,9.96,0.33,0.74,57.0
mango,60,medium,14.98,1.6,13.66,0.38,0.82,60.0
papaya,59,medium,10.82,1.7,7.82,0.26,0.47,43.0
figs,61,medium,19.18,2.9,16.26,0.3,0.75,74.0
"potato, boiled",82,high,20.13,2.0,0.91,0.1,1.87,87.0
sweet potato,70,high,20.71,3.3,6.48,0.15,2.01,90.0
"corn, sweet",60,medium,18.7,2.0,6.26,1.35,3.27,86.0
"carrots, raw",47,low,9.58,2.8,4.74,0.24,0.93,41.0
"peas, green",48,low,14.45,5.7,5.67,0.4,5.42,81.0
parsnips,97,high,17.99,4.9,4.8,0.3,1.2,75.0
beets,64,medium,9.56,2.8,6.76,0.17,1.61,43.0
yam,54,low,27.88,4.1,0.5,0.17,1.53,118.0
pumpkin,75,high,6.5,0.5,2.76,0.1,1.0,26.0
white rice,72,high,79.95,1.3,0.12,0.66,7.13,365.0
brown rice,68,medium,76.25,3.6,0.66,3.2,7.54,367.0
instant oatmeal,83,high,69.52,10.0,1.5,6.9,11.92,362.0
rolled oats,55,low,67.7,10.1,0.99,6.52,13.15,379.0
white bread,75,high,49.6,2.3,4.31,3.6,8.2,267.0
whole wheat bread,69,medium,42.71,6.0,4.34,3.5,12.45,252.0
rye bread,65,medium,48.3,5.8,3.85,3.3,8.5,259.0
"bagel, white",72,high,53.4,2.3,4.73,1.6,10.5,275.0
"pasta, white, cooked",50,low,30.59,1.8,0.56,0.93,5.8,157.0
"pasta, whole wheat",42,low,73.37,9.2,2.74,2.93,13.87,352.0
"barley, pearled",28,low,77.72,15.6,0.8,1.16,9.91,352.0
corn tortilla,52,low,44.64,6.3,0.88,2.85,5.7,218.0
wheat tortilla,30,low,49.27,2.4,2.66,7.58,8.01,297.0
couscous,65,medium,77.43,5.0,4.73,0.64,12.76,376.0
bulgur wheat,48,low,75.87,12.5,0.41,1.33,12.29,342.0
quinoa,53,low,64.16,7.0,4.73,6.07,14.12,368.0
millet,71,high,72.85,8.5,4.73,4.22,11.02,378.0
cornmeal,68,medium,76.89,7.3,0.64,3.59,8.12,362.0
white crackers,74,high,68.25,6.7,0.0,10.71,7.14,398.0
rice cakes,82,high,81.5,4.2,0.88,2.8,8.2,387.0
corn flakes cereal,93,high,79.09,4.6,0.57,1.75,7.65,370.0
bran flakes cereal,74,high,79.09,4.6,0.57,1.75,7.65,370.0
muesli,66,medium,79.09,4.6,0.57,1.75,7.65,370.0
lentils,32,low,63.35,10.7,2.03,1.06,24.63,352.0
kidney beans,29,low,22.8,6.4,0.32,0.5,8.67,127.0
black beans,30,low,62.36,15.5,2.12,1.42,21.6,341.0
navy beans,38,low,15.01,2.95,4.73,0.81,7.07,78.0
soybeans,18,low,6.53,0.8,0.52,4.45,8.47,81.0
peanuts,14,low,16.13,8.5,4.72,49.24,25.8,567.0
edamame,18,low,8.91,5.2,2.18,5.2,11.91,121.0
whole milk,39,low,4.8,0.0,5.05,3.25,3.15,61.0
skim milk,37,low,4.96,0.0,5.09,0.08,3.37,34.0
"yogurt, plain",36,low,4.66,0.0,4.66,3.25,3.47,61.0
ice cream,61,medium,23.6,0.7,21.22,11.0,3.5,207.0
chocolate milk,43,low,10.34,0.8,9.54,3.39,3.17,83.0
almonds,15,low,21.55,12.5,4.35,49.93,21.15,579.0
cashews,27,low,30.19,3.3,5.91,43.85,18.22,553.0
walnuts,15,low,13.71,6.7,2.61,65.21,15.23,654.0
honey,61,medium,82.4,0.2,82.12,0.0,0.3,304.0
white sugar,68,medium,99.98,0.0,99.8,0.0,0.0,387.0
dark chocolate,23,low,59.97,7.2,46.14,32.2,5.09,550.0
milk chocolate,43,low,59.4,3.4,51.5,29.66,7.65,535.0
orange juice,52,low,10.4,0.2,8.4,0.2,0.7,45.0
apple juice,44,low,11.3,0.2,9.62,0.13,0.1,46.0
popcorn,72,high,77.78,14.5,0.87,4.54,12.94,387.0
pretzels,83,high,80.39,3.4,2.21,2.93,10.04,384.0
potato chips,56,medium,53.83,3.1,0.33,33.98,6.39,532.0
"white rice, cooked",72,high,79.95,1.3,0.12,0.66,7.13,365.0
oat bran,55,low,66.22,15.4,1.45,7.03,17.3,246.0
pumpernickel bread,56,medium,47.5,6.5,0.53,3.1,8.7,250.0
waffles,76,high,42.98,2.2,4.91,9.7,6.47,285.0
pancakes,67,medium,73.65,2.9,16.03,3.1,9.77,368.0
